followers,likes,shares,comments,influence_label
8908,224,1,6,Low
15601,1074,296,99,Medium
3067,150,16,11,Low
54065,1037,171,188,Medium
33329,654,166,161,Medium
14500,4776,421,109,Medium
449458,43952,3499,723,High
378168,18417,1063,1733,High
7960,157,13,15,Low
5405,465,48,5,Low
521910,29276,2481,1054,High
600187,13529,2538,1634,High
1162,135,33,17,Low
4829,392,13,2,Low
5744,145,15,6,Low
339630,18067,4597,101,High
831913,16837,2207,353,High
203356,34127,2097,563,High
495,79,16,14,Low
15896,1666,321,150,Medium
9808,85,33,10,Low
817,191,8,1,Low
1671,443,36,2,Low
828,336,23,10,Low
925,340,28,5,Low
8967,239,45,18,Low
5845,248,25,2,Low
42712,2800,357,109,Medium
164821,11873,2178,1634,High
7643,83,6,13,Low
76691,801,414,48,Medium
50819,2955,288,110,Medium
16894,4615,167,170,Medium
7751,150,27,1,Low
665895,17666,4081,362,High
4591,135,37,3,Low
3866,348,14,5,Low
4179,402,37,1,Low
517114,19039,3277,1775,High
4271,284,12,13,Low
887202,10675,3742,851,High
56215,3675,445,42,Medium
370937,13392,1198,1695,High
428948,10258,1995,572,High
53017,3944,157,103,Medium
55715,2215,193,163,Medium
970911,14268,2737,1271,High
61408,3920,311,94,Medium
7286,301,32,9,Low
13437,4995,286,52,Medium
154887,6585,4993,222,High
876998,38763,3657,1247,High
447450,29253,1863,863,High
6017,351,3,5,Low
621431,28939,4988,866,High
5080,28,28,7,Low
465839,49974,2070,346,High
64046,4236,327,44,Medium
589493,43660,3957,1887,High
58405,4646,118,139,Medium
17401,3065,54,199,Medium
2604,183,21,17,Low
7687,451,44,5,Low
1465,226,11,19,Low
358796,28247,2163,502,High
59378,1353,496,55,Medium
96832,3037,367,149,Medium
13988,1909,328,187,Medium
50765,3761,125,17,Medium
2243,203,20,1,Low
57334,4347,138,83,Medium
4592,310,12,17,Low
627036,44099,1782,588,High
748144,13571,1209,1028,High
754812,26243,3175,1943,High
86214,1471,434,38,Medium
3367,244,13,19,Low
71136,3401,488,137,Medium
30933,1743,150,194,Medium
237338,8943,1370,500,High
39856,2705,313,38,Medium
63352,3475,318,189,Medium
999160,6021,1984,379,High
8435,355,8,8,Low
5173,292,35,9,Low
165726,43044,4248,650,High
29831,3450,145,76,Medium
7500,261,8,1,Low
573255,31854,4196,445,High
249504,17185,4529,1834,High
8182,424,38,19,Low
80092,2341,50,180,Medium
48361,627,207,105,Medium
798362,40222,3974,1427,High
291336,48573,3290,983,High
5261,485,28,15,Low
429366,14692,2257,1081,High
427070,31557,3814,1324,High
231933,22159,3273,1539,High
210269,40920,1528,302,High
3540,431,49,5,Low
765988,27662,3652,1116,High
5068,330,1,5,Low
2886,177,21,17,Low
771156,28483,3231,1833,High
12558,3894,155,195,Medium
4074,230,3,18,Low
58355,3827,173,156,Medium
335797,45397,3560,1472,High
4460,454,24,13,Low
275204,16653,1363,1960,High
71268,1684,419,147,Medium
84544,1648,203,102,Medium
66836,4354,484,99,Medium
7366,48,28,2,Low
7292,460,41,18,Low
48468,3509,278,93,Medium
27430,4631,175,74,Medium
6906,38,47,6,Low
512,18,38,18,Low
256731,22262,3802,246,High
5204,131,19,3,Low
5046,100,36,8,Low
7457,174,41,17,Low
419031,7695,4243,1902,High
305042,28599,1354,996,High
80272,3306,107,198,Medium
31358,3233,324,33,Medium
356841,8561,2136,243,High
29739,3274,238,21,Medium
691724,7027,3945,740,High
891744,16534,3229,1449,High
52643,1560,152,153,Medium
229982,45774,1163,437,High
16296,1106,399,42,Medium
798,141,10,14,Low
184655,7568,2498,971,High
92019,2565,196,10,Medium
187499,24457,706,393,High
5688,182,36,12,Low
221959,7612,1304,1795,High
82695,1569,109,56,Medium
818316,42065,2222,708,High
3014,374,31,3,Low
78498,1069,169,13,Medium
359179,45994,3190,935,High
421880,5161,1559,243,High
6088,16,47,15,Low
5586,211,26,2,Low
40747,2482,241,104,Medium
339932,35535,2660,980,High
56976,2395,368,25,Medium
12870,4514,107,11,Medium
299042,37606,3125,286,High
9979,14,18,16,Low
32400,1284,442,133,Medium
2602,373,28,4,Low
832181,31531,1002,1307,High
828,410,45,1,Low
84291,3201,422,53,Medium
87506,4363,141,89,Medium
22184,1199,404,32,Medium
1222,179,11,13,Low
55526,1024,339,21,Medium
89910,2868,97,177,Medium
552367,44976,4913,1763,High
49791,4269,398,90,Medium
628179,18986,1791,1734,High
744168,19541,4340,1562,High
586233,29300,2029,1469,High
71435,3024,102,78,Medium
15540,1480,193,43,Medium
141091,45757,4691,297,High
25152,2827,245,185,Medium
7264,262,32,1,Low
7768,155,49,15,Low
83745,2991,135,171,Medium
314177,30851,3193,1894,High
8406,172,39,3,Low
39300,1639,360,19,Medium
373539,44504,4263,1538,High
96417,4841,178,170,Medium
1267,229,9,5,Low
3736,251,17,12,Low
6641,326,29,14,Low
431237,38159,2353,1421,High
9448,370,46,11,Low
12201,2316,194,78,Medium
69041,3670,96,110,Medium
284780,6016,4127,759,High
22875,690,473,78,Medium
60109,2186,395,169,Medium
655840,27002,3804,250,High
484682,26271,1806,963,High
2256,67,20,16,Low
8887,154,16,10,Low
68872,4557,176,172,Medium
2882,176,28,17,Low
